"country_name";"avg(valuation)"
"Sweden";14.5
"Australia";7.5714
"Indonesia";5.6
"Lithuania";5.0
"Estonia";5.0
"Turkey";4.5
"Brazil";4.0667
"United Kingdom";3.6744
"Belgium";3.5
"China";3.3609
"United States";3.354
"Hong Kong";3.1111
"Mexico";3.0
"Netherlands";3.0
"Colombia";3.0
"Austria";3.0
"Vietnam";3.0
"India";2.9216
"Germany";2.8696
"Singapore";2.8667
"Canada";2.5333
"Israel";2.1905
"South Korea";2.0909
"Argentina";2.0
"Luxembourg";2.0
"Nigeria";2.0
"Santa Clara";2.0
"Senegal";2.0
"Bermuda";2.0
"Chile";2.0
"France";1.8947
"Ireland";1.75
"United Arab Emirates";1.6667
"Switzerland";1.5
"Finland";1.5
"Philippines";1.5
"Denmark";1.5
"South Africa";1.5
"Japan";1.5
"Thailand";1.5
"Norway";1.3333
"Spain";1.25
"Malaysia";1.0
"Czech Republic";1.0
"Croatia";1.0
