"country_name";"count(startup_name)"
"United States";483
"China";169
"India";51
"United Kingdom";43
"Germany";23
"Israel";21
"France";19
"Hong Kong";18
"Brazil";15
"Canada";15
"Singapore";15
"South Korea";11
"Australia";7
"Japan";6
"Indonesia";5
"Mexico";5
"Netherlands";5
"Sweden";4
"Ireland";4
"Switzerland";4
"Spain";4
"United Arab Emirates";3
"Norway";3
"Turkey";2
"Colombia";2
"Austria";2
"Finland";2
"Philippines";2
"Denmark";2
"Belgium";2
"South Africa";2
"Thailand";2
"Santa Clara";1
"Estonia";1
"Argentina";1
"Vietnam";1
"Senegal";1
"Bermuda";1
"Lithuania";1
"Luxembourg";1
"Chile";1
"Nigeria";1
"Malaysia";1
"Czech Republic";1
"Croatia";1
