Artist,Title
taylor swift,cruel summer
jack harlow,lovin on me
doja cat,paint the town red
sza,snooze
taylor swift,is it over now? (taylor's version) [from the vault]
zach bryan featuring kacey musgraves,i remember everything
luke combs,fast car
tate mcrae,greedy
morgan wallen,last night
morgan wallen,thinkin' bout me
dua lipa,houdini
chris stapleton,white horse
jelly roll,need a favor
doja cat,agora hills
tyla,water
drake featuring sexyy red & sza,rich baby daddy
mariah carey,all i want for christmas is you
gunna,fukumean
jelly roll with lainey wilson,save me
dua lipa,dance the night
olivia rodrigo,vampire
miley cyrus,used to be young
paul russell,lil boo thang
bad bunny,monaco
drake featuring j. cole,first person shooter
drake featuring yeat,idgaf
billie eilish,what was i made for?
"usher, summer walker & 21 savage",good good
miley cyrus,flowers
mitski,my love mine all mine
noah kahan,stick season
wham!,last christmas
taylor swift,now that we don't talk (taylor's version) [from the vault]
noah kahan with post malone,dial drunk
doechii featuring kodak black,what it is (block boy)
sza,kill bill
noah kahan with hozier,northern attitude
bobby helms,jingle bell rock
teddy swims,lose control
fuerza regida & marshmello,harley quinn
david kushner,daylight
travis scott,i know ?
jessie murph & jelly roll,wild ones
burl ives,a holly jolly christmas
nicki minaj & ice spice with aqua,barbie world
warren zeiders,pretty little poison
nate smith,world on fire
victoria monet,on my mama
taylor swift,slut! (taylor's version) [from the vault]
jung kook,standing next to you
lil tecca,500lbs
kenya grace,strangers
taylor swift,say don't go (taylor's version) [from the vault]
olivia rodrigo,bad idea right?
rod wave,great gatsby
olivia rodrigo,get him back!
dylan scott,can't have mine
drake,virginia beach
morgan wallen,everything i love
tim mcgraw,standing room only
jason aldean,try that in a small town
cody johnson,the painter
megan thee stallion,cobra
hardy,truck bed
karol g & peso pluma,qlona
"the kid laroi, jung kook & central cee",too much
bad bunny & feid,perro negro
zach bryan featuring the war and treaty,hey driver
taylor swift,style (taylor's version)
oliver anthony music,rich men north of richmond
travis scott featuring drake,meltdown
cardi b & megan thee stallion,bongos
drake featuring sza,slime you out
maluma & carin leon,segun quien
calle 24 x chino pacas x fuerza regida,que onda
the beatles,now and then
selena gomez,single soon
parker mccollum,burn it down
myke towers,lala
taylor swift,bad blood (taylor's version)
olivia rodrigo,can't catch me now
rod wave featuring 21 savage,turks & caicos
sexyy red,skeeyee
jung kook & jack harlow,3d
taylor swift,out of the woods (taylor's version)
taylor swift,wildest dreams (taylor's version)
grupo frontera & grupo firme,el amor de su vida
dan + shay,save me the trouble
dustin lynch,stars like confetti
stray kids,lalalala
jung kook featuring latto,seven
taylor swift,suburban legends (taylor's version) [from the vault]
taylor swift,blank space (taylor's version)
carly pearce featuring chris stapleton,we don't fight anymore
lil durk,smurk carter
karol g,mi ex tenia razon
riley green featuring luke combs,different 'round here
luke bryan,but i got a beer in my hand
youngboy never broke again & rod wave,better than ever
310babii,soak city (do it)
